Alternatif,Harga (juta Rp),Skor Kamera (1-100),Baterai (mAh),Berat (gram),Skor Performa
Galaxy Z Fold 7,30,95,4800,250,1800000
iPhone 17 Pro,28,92,4500,220,1900000
Pixel 10 Pro,25,96,5100,215,1750000
Xperia 2 VI,27,88,5000,200,1700000
Samsung Galaxy S25 Ultra,24,98,5200,230,1850000
OnePlus 13 Pro,20,90,5000,210,1650000
Huawei P60 Pro,22,93,4800,205,1600000
Xiaomi 15 Pro,18,89,5100,205,1550000
Oppo Find X9 Pro,19,91,5000,215,1580000
Vivo X100 Pro,21,92,5200,220,1620000
Realme GT 6 Pro,17,88,4800,200,1500000
Asus ROG Phone 9,23,85,6000,240,1750000
Motorola Edge 60 Ultra,16,87,5000,205,1450000
Nokia X50 Pro,15,80,4800,180,1400000
Sony Xperia 1 VII,25,89,5000,210,1680000
Samsung Galaxy S25,22,95,4800,225,1820000
Apple iPhone 17,26,90,4500,205,1880000
Google Pixel 10,23,94,5000,210,1740000
Xiaomi 15,17,88,4800,200,1530000
OnePlus 13,19,90,5000,215,1600000
Huawei P60,20,92,4800,205,1580000
Oppo Find X9,18,89,5000,210,1560000
Vivo X100,21,91,5200,220,1610000
Realme GT 6,17,87,4800,200,1520000
Asus Zenfone 11 Pro,16,86,5000,205,1480000
Motorola Edge 60,14,85,4800,200,1420000
Nokia X50,13,80,4700,180,1380000
Sony Xperia 1 VI,24,88,5000,210,1670000
Samsung Galaxy Z Flip 7,28,92,4300,190,1780000
Apple iPhone 17 Mini,24,89,4400,170,1840000
Google Pixel 10a,20,93,4800,200,1710000
Xiaomi 15 Lite,15,85,4500,180,1490000
OnePlus 13 Lite,16,87,4800,190,1550000
Huawei P60 Lite,18,90,4600,185,1570000
Oppo Find X9 Lite,17,88,4800,190,1540000
Vivo X100 Lite,19,90,5000,200,1590000
Realme GT 6 Lite,14,86,4500,180,1470000
Asus Zenfone 11,15,85,4800,185,1450000
Motorola Edge 60 Lite,12,84,4600,180,1400000
Nokia X50 Lite,11,78,4500,170,1350000
Sony Xperia 10 VII,20,86,4800,195,1650000
Samsung Galaxy A55,12,84,5000,190,1430000
Apple iPhone 16 SE,14,88,4700,175,1500000
Google Pixel 9a,13,90,4800,185,1520000
Xiaomi Redmi Note 14 Pro,10,83,5100,200,1400000
OnePlus Nord 4,11,85,5000,195,1450000
Huawei Nova 13,12,87,4600,180,1480000
Oppo Reno 12 Pro,13,86,4800,190,1500000
Vivo V30 Pro,14,88,5000,200,1520000
Realme 12 Pro,11,85,4800,185,1470000
Asus ROG Phone 9S,22,86,6000,245,1770000
Motorola Moto G Power Plus,9,78,6000,205,1300000
Nokia G60 Pro,10,80,5200,190,1350000
Sony Xperia 5 VII,23,87,5000,205,1700000
Samsung Galaxy S25 FE,21,94,4800,220,1800000
Apple iPhone 17 Plus,25,91,4500,210,1890000
Google Pixel 10 XL,24,95,5100,225,1730000
Xiaomi 15 Pro Max,19,90,5200,230,1660000
OnePlus 13 Pro Max,21,92,5000,240,1690000
Huawei P60 Pro Plus,23,94,5100,235,1720000
Oppo Find X9 Pro Max,22,93,5200,230,1700000
Vivo X100 Pro Max,24,92,5300,240,1730000
Realme GT 6 Pro Max,20,90,5000,225,1650000
Asus Zenfone 11 Ultra,18,88,5200,230,1620000
Motorola Edge 60 Pro,17,87,5000,220,1600000
Nokia X50 Pro Max,16,85,5100,225,1580000
Sony Xperia 1 VIII,26,89,5200,215,1690000
Samsung Galaxy Z Fold 7 Ultra,32,96,5000,260,1830000
Apple iPhone 17 Ultra,30,93,4600,230,1900000
Google Pixel Fold,28,94,5200,250,1760000
Xiaomi 15 Ultra,22,92,5300,240,1670000
OnePlus 13 Ultra,24,93,5100,245,1690000
Huawei P60 Ultra,25,95,5200,235,1710000
Oppo Find X9 Ultra,23,92,5300,240,1680000
Vivo X100 Ultra,26,93,5400,250,1730000
Realme GT 6 Ultra,21,90,5200,235,1660000
Asus ROG Phone 9 Ultra,27,89,6000,260,1800000
Motorola Edge 60 Ultra Plus,19,88,5200,240,1580000
Nokia X50 Ultra,18,86,5300,235,1540000
Sony Xperia 1 IX,28,90,5400,220,1750000
Samsung Galaxy A75,15,85,5100,205,1450000
Apple iPhone 16 Pro,23,89,4800,215,1800000
Google Pixel 9,21,91,5000,210,1720000
Xiaomi Redmi Note 14,12,83,5000,200,1400000
OnePlus Nord 3,13,85,5000,195,1430000
Huawei Nova 12,14,87,4700,190,1460000
Oppo Reno 11 Pro,15,86,4900,200,1480000
Vivo V30,16,88,5000,205,1500000
Realme 12,13,85,4800,195,1470000
Asus Zenfone 11 Lite,12,84,5000,200,1450000
Motorola Edge 60 Neo,11,83,4800,195,1420000
Nokia X50 Neo,10,80,4700,185,1380000
Sony Xperia 5 VIII,22,87,5000,200,1680000
Samsung Galaxy S24,20,94,4800,210,1820000
Apple iPhone 16,22,90,4700,205,1790000
Google Pixel 9 XL,23,92,5000,220,1730000
Xiaomi 14 Pro,18,89,5100,215,1600000
OnePlus 12 Pro,19,90,5000,220,1640000
Huawei P50 Pro,20,92,4800,210,1670000
Oppo Find X8 Pro,21,91,5000,220,1680000
Vivo X90 Pro,22,92,5200,225,1700000
Realme GT 5 Pro,18,89,5000,215,1630000
Asus ROG Phone 8 Pro,24,88,6000,255,1750000
Motorola Edge 50 Ultra,17,87,5200,230,1600000
Nokia X40 Pro,16,85,5100,220,1580000
Sony Xperia 1 V,25,89,5200,215,1690000
Samsung Galaxy Z Fold 6,29,95,4900,255,1810000
Apple iPhone 15 Ultra,27,93,4700,225,1880000
Google Pixel 8 Ultra,26,94,5200,245,1740000
Xiaomi 14 Ultra,21,92,5300,235,1650000
OnePlus 12 Ultra,23,93,5100,240,1680000
Huawei P50 Pro Plus,24,95,5200,230,1710000